Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value%
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,13.8
Afghanistan,F,Marital status,Married or living together,... if she burns the food,2015,18.3
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,6.3
Afghanistan,M,Marital status,Married or living together,... if she burns the food,2015,8.5
Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,2015,80.6
Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,67.6
Afghanistan,F,Marital status,Married or living together,... if she argues with him,2015,59.5
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,51.5
Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,2015,67.1
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,58.5
Afghanistan,F,Marital status,Married or living together,... if she neglects the children,2015,48.6
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,43.1
Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,2015,33.5
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,29.1
Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,2015,72.6
Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,48.8
Afghanistan,M,Marital status,Married or living together,... if she argues with him,2015,45.5
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,35.1
Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,2015,61.3
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,36.5
Afghanistan,M,Marital status,Married or living together,... if she neglects the children,2015,26.1
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,29.3
Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,2015,19.7
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,5
Albania,F,Marital status,Never married,... if she burns the food,2017,0.6
Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2017,0.6
Albania,F,Marital status,Married or living together,... if she burns the food,2017,0.9
Albania,M,Marital status,Never married,... if she burns the food,2017,0.4
Albania,M,Marital status,Married or living together,... if she burns the food,2017,0.6
Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2017,1.6
Albania,F,Marital status,Married or living together,... for at least one specific reason,2017,7.9
Albania,F,Marital status,Never married,... for at least one specific reason,2017,4.3
Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2017,7
Albania,F,Marital status,Married or living together,... if she argues with him,2017,2
Albania,F,Marital status,Never married,... if she argues with him,2017,1.1
Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2017,3.4
Albania,F,Marital status,Married or living together,... if she goes out without telling him,2017,4.6
Albania,F,Marital status,Never married,... if she goes out without telling him,2017,1.7
Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2017,2.3
Albania,F,Marital status,Married or living together,... if she neglects the children,2017,6.1
Albania,F,Marital status,Never married,... if she neglects the children,2017,3.2
Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2017,5.1
Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,2017,1
Albania,F,Marital status,Never married,... if she refuses to have sex with him,2017,0.5
Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2017,1.1
Albania,M,Marital status,Married or living together,... for at least one specific reason,2017,11.7
Albania,M,Marital status,Never married,... for at least one specific reason,2017,10.6
Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2017,29.7
Albania,M,Marital status,Married or living together,... if she argues with him,2017,4.1
Albania,M,Marital status,Never married,... if she argues with him,2017,3.8
Albania,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2017,13.1
Albania,M,Marital status,Married or living together,... if she goes out without telling him,2017,7.7
Albania,M,Marital status,Never married,... if she goes out without telling him,2017,5.1
Albania,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2017,16.7
Albania,M,Marital status,Married or living together,... if she neglects the children,2017,8.5
Albania,M,Marital status,Never married,... if she neglects the children,2017,7.2
Albania,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2017,24.5
Albania,M,Marital status,Married or living together,... if she refuses to have sex with him,2017,1.3
Albania,M,Marital status,Never married,... if she refuses to have sex with him,2017,2.8
Albania,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2017,4.6
Angola,F,Marital status,Never married,... if she burns the food,2015,9.8
Angola,F,Marital status,Married or living together,... if she burns the food,2015,10.8
Angola,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,12.2
Angola,M,Marital status,Married or living together,... if she burns the food,2015,4.4
Angola,M,Marital status,Never married,... if she burns the food,2015,7.3
Angola,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,9.3
Angola,F,Marital status,Married or living together,... for at least one specific reason,2015,27.2
Angola,F,Marital status,Never married,... for at least one specific reason,2015,21.1
Angola,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,28.5
Angola,F,Marital status,Married or living together,... if she argues with him,2015,16.7
Angola,F,Marital status,Never married,... if she argues with him,2015,12.3
Angola,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,17.3
Angola,F,Marital status,Married or living together,... if she goes out without telling him,2015,15.9
Angola,F,Marital status,Never married,... if she goes out without telling him,2015,11.9
Angola,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,15.4
Angola,F,Marital status,Married or living together,... if she neglects the children,2015,17.2
Angola,F,Marital status,Never married,... if she neglects the children,2015,14.1
Angola,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,19
Angola,F,Marital status,Married or living together,... if she refuses to have sex with him,2015,12.5
Angola,F,Marital status,Never married,... if she refuses to have sex with him,2015,8.6
Angola,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,16.2
Angola,M,Marital status,Married or living together,... for at least one specific reason,2015,19.1
Angola,M,Marital status,Never married,... for at least one specific reason,2015,20.6
Angola,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,25.1
Angola,M,Marital status,Married or living together,... if she argues with him,2015,10.5
Angola,M,Marital status,Never married,... if she argues with him,2015,10.6
Angola,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,17.4
Angola,M,Marital status,Married or living together,... if she goes out without telling him,2015,8.1
Angola,M,Marital status,Never married,... if she goes out without telling him,2015,8
Angola,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,12.8
Angola,M,Marital status,Married or living together,... if she neglects the children,2015,11.7
Angola,M,Marital status,Never married,... if she neglects the children,2015,11.2
Angola,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,16.7
Angola,M,Marital status,Married or living together,... if she refuses to have sex with him,2015,5.1
Angola,M,Marital status,Never married,... if she refuses to have sex with him,2015,5.8
Angola,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,9.8
Armenia,F,Marital status,Never married,... if she burns the food,2015,0.3
Armenia,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,0.3
Armenia,F,Marital status,Married or living together,... if she burns the food,2015,0.4
Armenia,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,0
Armenia,M,Marital status,Married or living together,... if she burns the food,2015,0.4
Armenia,M,Marital status,Never married,... if she burns the food,2015,1
Armenia,F,Marital status,Married or living together,... for at least one specific reason,2015,11.4
Armenia,F,Marital status,Never married,... for at least one specific reason,2015,8.4
Armenia,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,5.3
Armenia,F,Marital status,Married or living together,... if she argues with him,2015,7.1
Armenia,F,Marital status,Never married,... if she argues with him,2015,4.7
Armenia,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,3.2
Armenia,F,Marital status,Married or living together,... if she goes out without telling him,2015,5.7
Armenia,F,Marital status,Never married,... if she goes out without telling him,2015,5
Armenia,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,2.5
Armenia,F,Marital status,Married or living together,... if she neglects the children,2015,9.9
Armenia,F,Marital status,Never married,... if she neglects the children,2015,6.8
Armenia,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,3.8
Armenia,F,Marital status,Married or living together,... if she refuses to have sex with him,2015,0.9
Armenia,F,Marital status,Never married,... if she refuses to have sex with him,2015,0.5
Armenia,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,0.8
Armenia,M,Marital status,Married or living together,... for at least one specific reason,2015,21.3
Armenia,M,Marital status,Never married,... for at least one specific reason,2015,23.2
Armenia,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,42.3
Armenia,M,Marital status,Married or living together,... if she argues with him,2015,15.8
Armenia,M,Marital status,Never married,... if she argues with him,2015,16
Armenia,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,27.5
Armenia,M,Marital status,Married or living together,... if she goes out without telling him,2015,10.3
Armenia,M,Marital status,Never married,... if she goes out without telling him,2015,12.9
Armenia,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,22.5
Armenia,M,Marital status,Married or living together,... if she neglects the children,2015,16.5
Armenia,M,Marital status,Never married,... if she neglects the children,2015,17.2
Armenia,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,33.7
Armenia,M,Marital status,Married or living together,... if she refuses to have sex with him,2015,1.5
Armenia,M,Marital status,Never married,... if she refuses to have sex with him,2015,1.4
Armenia,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,9.1
Azerbaijan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2006,8.9
Azerbaijan,F,Marital status,Never married,... if she burns the food,2006,9.9
Azerbaijan,F,Marital status,Married or living together,... if she burns the food,2006,13.6
Azerbaijan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2006,3.8
Azerbaijan,M,Marital status,Married or living together,... if she burns the food,2006,5.6
Azerbaijan,M,Marital status,Never married,... if she burns the food,2006,9.3
Azerbaijan,F,Marital status,Married or living together,... for at least one specific reason,2006,54.7
Azerbaijan,F,Marital status,Never married,... for at least one specific reason,2006,39
Azerbaijan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2006,41.6
Azerbaijan,F,Marital status,Married or living together,... if she argues with him,2006,35.1
Azerbaijan,F,Marital status,Never married,... if she argues with him,2006,24.6
Azerbaijan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2006,26.6
Azerbaijan,F,Marital status,Married or living together,... if she goes out without telling him,2006,48.7
Azerbaijan,F,Marital status,Never married,... if she goes out without telling him,2006,31.4
Azerbaijan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2006,36.2
Azerbaijan,F,Marital status,Married or living together,... if she neglects the children,2006,38.8
Azerbaijan,F,Marital status,Never married,... if she neglects the children,2006,27.3
Azerbaijan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2006,29
Azerbaijan,F,Marital status,Married or living together,... if she refuses to have sex with him,2006,17.1
Azerbaijan,F,Marital status,Never married,... if she refuses to have sex with him,2006,8.9
Azerbaijan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2006,11.3
Azerbaijan,M,Marital status,Married or living together,... for at least one specific reason,2006,54.8
Azerbaijan,M,Marital status,Never married,... for at least one specific reason,2006,63.9
Azerbaijan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2006,62.5
Azerbaijan,M,Marital status,Married or living together,... if she argues with him,2006,48.7
Azerbaijan,M,Marital status,Never married,... if she argues with him,2006,56.2
Azerbaijan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2006,59.2
Azerbaijan,M,Marital status,Married or living together,... if she goes out without telling him,2006,36.8
Azerbaijan,M,Marital status,Never married,... if she goes out without telling him,2006,45.5
Azerbaijan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2006,32.6
Azerbaijan,M,Marital status,Married or living together,... if she neglects the children,2006,31.7
Azerbaijan,M,Marital status,Never married,... if she neglects the children,2006,39.3
Azerbaijan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2006,34
Azerbaijan,M,Marital status,Married or living together,... if she refuses to have sex with him,2006,10.1
Azerbaijan,M,Marital status,Never married,... if she refuses to have sex with him,2006,14.1
Azerbaijan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2006,10.9
Bangladesh,F,Marital status,Married or living together,... if she burns the food,2014,4.2
Bangladesh,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2014,6.7
Bangladesh,F,Marital status,Married or living together,... for at least one specific reason,2014,28.1
Bangladesh,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2014,32.2
Bangladesh,F,Marital status,Married or living together,... if she argues with him,2014,19.8
Bangladesh,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2014,21.8
Bangladesh,F,Marital status,Married or living together,... if she goes out without telling him,2014,14.1
Bangladesh,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2014,20.3
Bangladesh,F,Marital status,Married or living together,... if she neglects the children,2014,14.7
Bangladesh,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2014,18.8
Bangladesh,F,Marital status,Married or living together,... if she refuses to have sex with him,2014,7
Bangladesh,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2014,10.9
Benin,F,Marital status,Never married,... if she burns the food,2017,11.8
Benin,F,Marital status,Married or living together,... if she burns the food,2017,14.6
Benin,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2017,15.1
Benin,M,Marital status,Married or living together,... if she burns the food,2017,5.9
Benin,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2017,7
Benin,M,Marital status,Never married,... if she burns the food,2017,8
Benin,F,Marital status,Married or living together,... for at least one specific reason,2017,34
Benin,F,Marital status,Never married,... for at least one specific reason,2017,25.7
Benin,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2017,31.3
Benin,F,Marital status,Married or living together,... if she argues with him,2017,22.6
Benin,F,Marital status,Never married,... if she argues with him,2017,16.1
Benin,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2017,18.5
Benin,F,Marital status,Married or living together,... if she goes out without telling him,2017,23.4
Benin,F,Marital status,Never married,... if she goes out without telling him,2017,15.3
Benin,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2017,20.3
Benin,F,Marital status,Married or living together,... if she neglects the children,2017,24.7
Benin,F,Marital status,Never married,... if she neglects the children,2017,17.3
Benin,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2017,19.7
Benin,F,Marital status,Married or living together,... if she refuses to have sex with him,2017,14.2
Benin,F,Marital status,Never married,... if she refuses to have sex with him,2017,8.4
Benin,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2017,13.1
Benin,M,Marital status,Married or living together,... for at least one specific reason,2017,14.5
Benin,M,Marital status,Never married,... for at least one specific reason,2017,16.9
Benin,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2017,15
Benin,M,Marital status,Married or living together,... if she argues with him,2017,8.6
Benin,M,Marital status,Never married,... if she argues with him,2017,11
Benin,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2017,12
Benin,M,Marital status,Married or living together,... if she goes out without telling him,2017,7.6
Benin,M,Marital status,Never married,... if she goes out without telling him,2017,10.3
Benin,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2017,10.1
Benin,M,Marital status,Married or living together,... if she neglects the children,2017,8.1
Benin,M,Marital status,Never married,... if she neglects the children,2017,11
Benin,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2017,8.8
Benin,M,Marital status,Married or living together,... if she refuses to have sex with him,2017,6.3
Benin,M,Marital status,Never married,... if she refuses to have sex with him,2017,7.8
Benin,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2017,7.6
Bolivia,F,Marital status,Never married,... if she burns the food,2008,2.9
Bolivia,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2008,2.9
Bolivia,F,Marital status,Married or living together,... if she burns the food,2008,3.5
Bolivia,F,Marital status,Married or living together,... for at least one specific reason,2008,16.7
Bolivia,F,Marital status,Never married,... for at least one specific reason,2008,14.9
Bolivia,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2008,15.9
Bolivia,F,Marital status,Married or living together,... if she argues with him,2008,5.6
Bolivia,F,Marital status,Never married,... if she argues with him,2008,4.8
Bolivia,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2008,4.5
Bolivia,F,Marital status,Married or living together,... if she goes out without telling him,2008,6.6
Bolivia,F,Marital status,Never married,... if she goes out without telling him,2008,4.6
Bolivia,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2008,6.4
Bolivia,F,Marital status,Married or living together,... if she neglects the children,2008,12.7
Bolivia,F,Marital status,Never married,... if she neglects the children,2008,11.5
Bolivia,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2008,12.3
Bolivia,F,Marital status,Married or living together,... if she refuses to have sex with him,2008,2.5
Bolivia,F,Marital status,Never married,... if she refuses to have sex with him,2008,1.7
Bolivia,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2008,2.5
Burkina Faso,F,Marital status,Never married,... if she burns the food,2010,7.4
Burkina Faso,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2010,8.3
Burkina Faso,F,Marital status,Married or living together,... if she burns the food,2010,10.4
Burkina Faso,M,Marital status,Married or living together,... if she burns the food,2010,6.4
Burkina Faso,M,Marital status,Never married,... if she burns the food,2010,9
Burkina Faso,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2010,9.3
Burkina Faso,F,Marital status,Married or living together,... for at least one specific reason,2010,46
Burkina Faso,F,Marital status,Never married,... for at least one specific reason,2010,33.3
Burkina Faso,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2010,35.2
Burkina Faso,F,Marital status,Married or living together,... if she argues with him,2010,33.1
Burkina Faso,F,Marital status,Never married,... if she argues with him,2010,21.9
Burkina Faso,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2010,22.9
Burkina Faso,F,Marital status,Married or living together,... if she goes out without telling him,2010,32.6
Burkina Faso,F,Marital status,Never married,... if she goes out without telling him,2010,20.4
Burkina Faso,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2010,26.3
Burkina Faso,F,Marital status,Married or living together,... if she neglects the children,2010,32.3
Burkina Faso,F,Marital status,Never married,... if she neglects the children,2010,22.5
Burkina Faso,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2010,27.1
Burkina Faso,F,Marital status,Married or living together,... if she refuses to have sex with him,2010,21.5
Burkina Faso,F,Marital status,Never married,... if she refuses to have sex with him,2010,12.4
Burkina Faso,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2010,13.6
Burkina Faso,M,Marital status,Married or living together,... for at least one specific reason,2010,32.7
Burkina Faso,M,Marital status,Never married,... for at least one specific reason,2010,35.9
Burkina Faso,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2010,39.5
Burkina Faso,M,Marital status,Married or living together,... if she argues with him,2010,19.7
Burkina Faso,M,Marital status,Never married,... if she argues with him,2010,20.1
Burkina Faso,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2010,29.1
Burkina Faso,M,Marital status,Married or living together,... if she goes out without telling him,2010,17
Burkina Faso,M,Marital status,Never married,... if she goes out without telling him,2010,18.5
Burkina Faso,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2010,23.7
Burkina Faso,M,Marital status,Married or living together,... if she neglects the children,2010,19.3
Burkina Faso,M,Marital status,Never married,... if she neglects the children,2010,21
Burkina Faso,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2010,25.4
Burkina Faso,M,Marital status,Married or living together,... if she refuses to have sex with him,2010,10.1
Burkina Faso,M,Marital status,Never married,... if she refuses to have sex with him,2010,12.1
Burkina Faso,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2010,11.6
Burundi,F,Marital status,Married or living together,... if she burns the food,2016,20.6
Burundi,F,Marital status,Never married,... if she burns the food,2016,22.2
Burundi,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2016,30.4
Burundi,M,Marital status,Married or living together,... if she burns the food,2016,3.6
Burundi,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2016,5.6
Burundi,M,Marital status,Never married,... if she burns the food,2016,6.7
Burundi,F,Marital status,Married or living together,... for at least one specific reason,2016,61.2
Burundi,F,Marital status,Never married,... for at least one specific reason,2016,60.9
Burundi,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2016,69.1
Burundi,F,Marital status,Married or living together,... if she argues with him,2016,29.6
Burundi,F,Marital status,Never married,... if she argues with him,2016,29.2
Burundi,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2016,36.7
Burundi,F,Marital status,Married or living together,... if she goes out without telling him,2016,38.4
Burundi,F,Marital status,Never married,... if she goes out without telling him,2016,38.4
Burundi,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2016,47.5
Burundi,F,Marital status,Married or living together,... if she neglects the children,2016,50.5
Burundi,F,Marital status,Never married,... if she neglects the children,2016,51.7
Burundi,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2016,59.9
Burundi,F,Marital status,Married or living together,... if she refuses to have sex with him,2016,42.3
Burundi,F,Marital status,Never married,... if she refuses to have sex with him,2016,38.4
Burundi,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2016,52.2
Burundi,M,Marital status,Married or living together,... for at least one specific reason,2016,29.2
Burundi,M,Marital status,Never married,... for at least one specific reason,2016,41.5
Burundi,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2016,45.9
Burundi,M,Marital status,Married or living together,... if she argues with him,2016,8.6
Burundi,M,Marital status,Never married,... if she argues with him,2016,12
Burundi,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2016,18
Burundi,M,Marital status,Married or living together,... if she goes out without telling him,2016,14.7
Burundi,M,Marital status,Never married,... if she goes out without telling him,2016,19.6
Burundi,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2016,32.9
Burundi,M,Marital status,Married or living together,... if she neglects the children,2016,21.7
Burundi,M,Marital status,Never married,... if she neglects the children,2016,31.1
Burundi,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2016,34
Burundi,M,Marital status,Married or living together,... if she refuses to have sex with him,2016,9.8
Burundi,M,Marital status,Never married,... if she refuses to have sex with him,2016,17.6
Burundi,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2016,22.8
Cambodia,F,Marital status,Never married,... if she burns the food,2014,9.3
Cambodia,F,Marital status,Married or living together,... if she burns the food,2014,12.4
Cambodia,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2014,13.9
Cambodia,M,Marital status,Married or living together,... if she burns the food,2014,1.7
Cambodia,M,Marital status,Never married,... if she burns the food,2014,2
Cambodia,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2014,4
Cambodia,F,Marital status,Married or living together,... for at least one specific reason,2014,53.3
Cambodia,F,Marital status,Never married,... for at least one specific reason,2014,40.6
Cambodia,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2014,49.5
Cambodia,F,Marital status,Married or living together,... if she argues with him,2014,26
Cambodia,F,Marital status,Never married,... if she argues with him,2014,18
Cambodia,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2014,24.9
Cambodia,F,Marital status,Married or living together,... if she goes out without telling him,2014,35.1
Cambodia,F,Marital status,Never married,... if she goes out without telling him,2014,21.7
Cambodia,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2014,29.7
Cambodia,F,Marital status,Married or living together,... if she neglects the children,2014,47.2
Cambodia,F,Marital status,Never married,... if she neglects the children,2014,34.9
Cambodia,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2014,42.1
Cambodia,F,Marital status,Married or living together,... if she refuses to have sex with him,2014,14.1
Cambodia,F,Marital status,Never married,... if she refuses to have sex with him,2014,8.3
Cambodia,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2014,16
Cambodia,M,Marital status,Married or living together,... for at least one specific reason,2014,27
Cambodia,M,Marital status,Never married,... for at least one specific reason,2014,23.8
Cambodia,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2014,29.7
Cambodia,M,Marital status,Married or living together,... if she argues with him,2014,11.5
Cambodia,M,Marital status,Never married,... if she argues with him,2014,10.3
Cambodia,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2014,15.6
Cambodia,M,Marital status,Married or living together,... if she goes out without telling him,2014,13.8
Cambodia,M,Marital status,Never married,... if she goes out without telling him,2014,9.9
Cambodia,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2014,12.2
Cambodia,M,Marital status,Married or living together,... if she neglects the children,2014,20.3
Cambodia,M,Marital status,Never married,... if she neglects the children,2014,16.5
Cambodia,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2014,22.8
Cambodia,M,Marital status,Married or living together,... if she refuses to have sex with him,2014,3.7
Cambodia,M,Marital status,Never married,... if she refuses to have sex with him,2014,4
Cambodia,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2014,7.2
Cameroon,F,Marital status,Never married,... if she burns the food,2011,11.3
Cameroon,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2011,12.5
Cameroon,F,Marital status,Married or living together,... if she burns the food,2011,14.8
Cameroon,M,Marital status,Married or living together,... if she burns the food,2011,8.3
Cameroon,M,Marital status,Never married,... if she burns the food,2011,9.5
Cameroon,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2011,10.7
Cameroon,F,Marital status,Married or living together,... for at least one specific reason,2011,47.5
Cameroon,F,Marital status,Never married,... for at least one specific reason,2011,44.6
Cameroon,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2011,44.5
Cameroon,F,Marital status,Married or living together,... if she argues with him,2011,23.1
Cameroon,F,Marital status,Never married,... if she argues with him,2011,15.9
Cameroon,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2011,19.1
Cameroon,F,Marital status,Married or living together,... if she goes out without telling him,2011,28.8
Cameroon,F,Marital status,Never married,... if she goes out without telling him,2011,21.5
Cameroon,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2011,25.9
Cameroon,F,Marital status,Married or living together,... if she neglects the children,2011,37.5
Cameroon,F,Marital status,Never married,... if she neglects the children,2011,37.3
Cameroon,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2011,37.2
Cameroon,F,Marital status,Married or living together,... if she refuses to have sex with him,2011,16.8
Cameroon,F,Marital status,Never married,... if she refuses to have sex with him,2011,8.5
Cameroon,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2011,12.2
Cameroon,M,Marital status,Married or living together,... for at least one specific reason,2011,36.7
Cameroon,M,Marital status,Never married,... for at least one specific reason,2011,40.5
Cameroon,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2011,40
Cameroon,M,Marital status,Married or living together,... if she argues with him,2011,17.3
Cameroon,M,Marital status,Never married,... if she argues with him,2011,17.9
Cameroon,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2011,18.5
Cameroon,M,Marital status,Married or living together,... if she goes out without telling him,2011,21.8
Cameroon,M,Marital status,Never married,... if she goes out without telling him,2011,20.4
Cameroon,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2011,25.4
Cameroon,M,Marital status,Married or living together,... if she neglects the children,2011,27.4
Cameroon,M,Marital status,Never married,... if she neglects the children,2011,30.1
Cameroon,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2011,30.7
